"event_name","group","date","category"
"💝HoliGay Extravaganza🎉","by Prana & Peace Queer Meetups","Sat, Dec 6 · 3:00 PM EST","General"
"Unreal NYC | December Event","by Unreal NYCicon4.9","Thu, Dec 4 · 6:30 PM EST","General"
"AI/ML Conversations Meetup:Smart CPU Offloading for Scalable LLM Inference","by New York AI/ML Conversationsicon4.5","Monthly • Tue, Dec 9 · 5:30 PM EST","General"
"Keto for Mental Health-Support Group","by Keto lifestyle for mental healthicon4.7","Thu, Dec 4 · 6:00 PM EST","General"
"Flow State: The Art of AI Automation with n8n & Zapier","by NYC User Experience & Digital Product Designersicon4.4","Thu, Dec 4 · 6:30 PM EST","General"
"Bitcoin Developers’ Socratic Seminar 153","by BitDevs NYCicon4.9","Thu, Dec 4 · 6:00 PM EST","General"
"Google NY Site Reliability Engineering (SRE) Tech Talks, 16 Dec 2025","by New York Site Reliability Engineering Tech Talksicon4.7","Tue, Dec 16 · 6:00 PM EST","General"
"[Register on Luma] Tech and Startup Networking Mixer","by Tech Startups of New Yorkicon4.3","Thu, Dec 4 · 5:00 PM EST","General"
"Start your weekend at New York Historical's library","by Silent Book Club NYCicon4.7","Fri, Dec 12 · 6:30 PM EST","General"
"NY Professionals Happy Hour","by NY Young Professionalsicon4.5","Thu, Dec 4 · 7:00 PM EST","General"
"A Holiday-Themed Party & Tech Talk w/ Google, Redis, &  Structify Presenting","by New York AI Engineersicon4.8","Tue, Dec 9 · 6:00 PM EST","General"
"What is Reflection?","by Autism On the Go 👍icon4.9","Every Thu • Dec 4 · 6:00 PM EST","General"
"Writers Meetup in Chelsea","by The Writing Groupicon4.8","Thu, Dec 4 · 6:00 PM EST","General"
"Let's practice Mandarin  (Chinese) and English","by New York English and Mandarin Language Exchangeicon4.8","Every two weeks on Thu • Dec 4 · 6:30 PM EST","General"
"9 Mile 4 Island, 4 Bridges and a Cable Car Hike","by The New York Afternoon Hiking Meetupicon4.7","Sun, Dec 7 · 11:15 AM EST","General"
"Tech Gather NYC December Meetup","by Tech Gather NYCicon4.5","Mon, Dec 8 · 7:00 PM EST","General"
"The Gilded Age Revisted! Upper East Side History, Architecture and Art Tour.","by Exploring NYC History and Neighborhoodsicon4.9","Sat, Dec 6 · 11:30 AM EST","General"
"Death, Loss and Spirituality","by Death, Loss and Spirituality Online Groupicon4.8","Every Thu • Dec 4 · 6:00 PM EST","General"
"Make friends over pub and grub!","by NY Pub and Grubicon4.6","Thu, Dec 4 · 7:00 PM EST","General"
"Holiday Hudson Yards & High Line Date Walk (20s, 30s, 40s Singles Stroll)","by The New York City Social Group (27,000+ members!)icon4.5","Sat, Dec 13 · 4:30 PM EST","General"
"Rust NYC Unconf 2025: Our Biggest Event Yet!","by Rust NYCicon4.8","Fri, Dec 5 · 2:00 PM EST","General"
"Brooklyn Bridge Walk and Talk","by Neverwinter Free Hiking and Cyclingicon4.7","Sun, Dec 7 · 4:30 PM EST","General"
"[Register on Luma] The Ultimate NYC Startup Tech Mixer","by Tech Startups of New Yorkicon4.3","Thu, Dec 4 · 5:30 PM EST","General"
"Design to Dev: The Future of Handoffs","by UXDX Community New Yorkicon4.7","Thu, Dec 4 · 6:00 PM EST","General"
"The Promised Land (Bastarden) (2023) Discussion","by The Sad Losers Movie Clubicon4.9","Thu, Dec 4 · 6:00 PM EST","General"
"Clew & Coffee: Bookworms read at Melting Cups (Queens)","by Silent Book Club NYCicon4.7","Sat, Dec 6 · 10:00 AM EST","General"
"Brunch Social: Make New Friends","by NYC Sunday Social","Sun, Dec 14 · 12:30 PM EST","General"
"New York Tech & Beer® - Happy Hour Social @ Valhalla","by New York Tech & Beer®icon4.7","Thu, Dec 11 · 6:30 PM EST","General"
"Let's Get Playful! Playful Perspectives with Sarah Filman","by NOVA Scribesicon4.8","Wed, Jan 14, 2026 · 6:00 PM EST","General"
"LET'S GO TO THE GUGGENHEIM MUSEUM!","by New York City Art, Film, Museum, Social Clubicon4.7","Sat, Dec 6 · 1:00 PM EST","General"
"Why Strong Women Get Trapped by Narcissists — And How to Break Free","by Holistic WellCare Advisersicon4.4","Thu, Dec 4 · 7:00 PM EST","General"
"*In Person* Practice and improve your public speaking skills!","by Greenspeakers Toastmasters Club - Practice Public Speakingicon4.8","Tue, Dec 9 · 6:45 PM EST","General"
