"event_name","group","date","category"
"Thursday Evening Online Group Meditation","by Philly Spiritual Adventuresicon4.9","Every Thu • Dec 4 · 6:00 PM EST","Religion Spirituality"
"Pandora's Box: The Astrology of 2026 and Holiday Party","by The Big Apple Astrology Meetup Groupicon4.6","Thu, Dec 18 · 7:00 PM EST","Religion Spirituality"
"Spiritual Social Get-Together @ IBM Atrium","by Spirituality Social Meetup of NYCicon4.7","Sun, Dec 14 · 2:00 PM EST","Religion Spirituality"
"PSYCHEDELIC YOGA In-Person Workshop!","by Psychedelic Yogaicon4.7","Sun, Dec 7 · 3:30 PM EST","Religion Spirituality"
"Mini Tourney at SOCCER POST ASTORIA!! Beginner and Intermediate","by New York Christian Sports MeetUpicon4.9","Sun, Dec 7 · 2:45 PM EST","Religion Spirituality"
"The Wheel Winter Party","by The Wheel NYCicon4.8","Sun, Dec 14 · 1:00 PM EST","Religion Spirituality"
"When skeptics get it wrong","by The New York City Skeptics Meetup Groupicon4.6","Mon, Dec 15 · 7:00 PM EST","Religion Spirituality"
"Dharma Drink Social @ Spicy Moon Bowery's Bar Area","by Dharma Drink: the hangout for Buddhists (& like minded)icon4.8","Fri, Dec 12 · 7:00 PM EST","Religion Spirituality"
"SkeptiCamp NYC 2025","by The New York City Skeptics Meetup Groupicon4.6","Sat, Dec 6 · 9:30 AM EST","Religion Spirituality"
"Food For Thought (F4T)","by Center for Inquiry New York Cityicon4.7","Monthly • Sun, Dec 14 · 12:00 PM EST","Religion Spirituality"
"Gnostic Mass, December 28th 1:30 PM","by Gnostic Circle of Mary Magdalene, New York CItyicon4.1","Sun, Dec 28 · 1:30 PM EST","Religion Spirituality"
"Death, Loss and Spirituality","by Death, Loss and Spirituality Online Groupicon4.8","Every Thu • Dec 4 · 6:00 PM EST","Religion Spirituality"
"ACTS OF GRACE MANHATTAN BIBLE TALK","by ACTS OF GRACE BIBLE TALKicon4.9","Every Tue • Dec 9 · 7:15 PM EST","Religion Spirituality"
"Drinking Inquisitively","by Center for Inquiry New York Cityicon4.7","Monthly • Fri, Dec 5 · 7:00 PM EST","Religion Spirituality"
"SkeptiCamp NYC 2025 (NYC Skeptics)","by NYC Atheistsicon4.6","Sat, Dec 6 · 9:30 AM EST","Religion Spirituality"
"Bhagavad-gita Class & Kirtan @ 5:30p.m. on Saturdays at 26 2nd Avenue, NY","by Kirtan Yoga Meditation & Bhagavad Gita As It Is Discoursesicon4.9","Every Sat • Dec 6 · 5:30 PM EST","Religion Spirituality"
"What is the Path of Spiritual Freedom? An Introduction to the Basics of Eckankar","by Past Lives, Dreams, Soul Travel throughout New Yorkicon4.8","Wed, Dec 10 · 7:00 PM EST","Religion Spirituality"
"Curious about Soul Travel?","by Past Lives, Dreams, Soul Travel throughout New Yorkicon4.8","Fri, Dec 5 · 7:00 PM EST","Religion Spirituality"
"Musical Bingo Night! 🎶(CLIFTON)","by NJ Christian Singlesicon4.8","Wed, Dec 10 · 6:45 PM EST","Religion Spirituality"
"30s and Under Meditation Gathering","by Shambhala Meditation Center of New York","Wed, Dec 10 · 6:30 PM EST","Religion Spirituality"
"Buddhism 101 - The different levels of holy beings and how to become one","by Buddhism 101 - Marylandicon4.2","Sat, Dec 6 · 11:00 AM EST","Religion Spirituality"
"Skimming the Surface: Movement Healing Workshop 12/8/25","by Somatic Healing Groupicon4.3","Mon, Dec 8 · 7:00 PM EST","Religion Spirituality"
"🌟 The Sacred Centers: A Journey Through the Core Chakras","by Mystery, Mystics and Metaphysics Meetup Groupicon4.7","Thu, Dec 4 · 7:00 PM EST","Religion Spirituality"
"The Story of the Bible","by Brooklyn Bible Studiesicon4.8","Every Thu • Dec 4 · 7:00 PM EST","Religion Spirituality"
"Raise Your Spiritual IQ!—Fridays at the NYC ECK Center","by Past Lives, Dreams, Soul Travel throughout New Yorkicon4.8","Fri, Dec 12 · 4:00 PM EST","Religion Spirituality"
"NYC Atheists In-Person Meeting","by NYC Atheistsicon4.6","Monthly • Fri, Dec 5 · 7:00 PM EST","Religion Spirituality"
"Humanist Happy Hour","by Secular Humanist Society of New Yorkicon4.6","Monthly • Fri, Dec 5 · 7:00 PM EST","Religion Spirituality"
"Live DWA","by Gotham Atheistsicon4.5","Monthly • Fri, Dec 12 · 8:00 PM EST","Religion Spirituality"
"Tuesday Night Kirtan","by Bhakti Center Programsicon4.8","Every Tue • Dec 9 · 7:30 PM EST","Religion Spirituality"
"Deer Spirit Reiki Circle at Moxi Wellness NYC w/ Geordie","by Deer Spirit Healing, Awakening & Ascension Meetupicon4.9","Sat, Dec 6 · 5:00 PM EST","Religion Spirituality"
"The Book of ECK Parables, Vol. 2  by Harold Klemp Lessons of the Heart and Soul","by Spiritual Explorers in Greater Philadelphia and Eastern PAicon5.0","Thu, Dec 4 · 6:30 PM EST","Religion Spirituality"
"What Color is Your Soul? (free event)","by Meaningful Conversations North Jerseyicon5.0","Thu, Dec 4 · 7:00 PM EST","Religion Spirituality"
"Live DWA (Gotham Atheists)","by NYC Atheistsicon4.6","Monthly • Fri, Dec 12 · 8:00 PM EST","Religion Spirituality"
"Enchanted Rose   “Share Your Gifts: Mediumship, Tarot & Psychic Exchange","by Enchanted Rose Mystical Arts  LLC. Evidential Mediumshipicon5.0","Every Thu • Dec 4 · 7:00 PM EST","Religion Spirituality"
"In Search of True Friendship (free event)","by Meaningful Conversations North Jerseyicon5.0","Thu, Dec 11 · 7:00 PM EST","Religion Spirituality"
"December Week of Meditation","by Shambhala Meditation Center of New York","Mon, Dec 8 · 7:00 PM EST","Religion Spirituality"
